time,low,high,open,close,volume
2022-04-03,45552.07,47469.4,45826.24,46422.16,8773.77185888
2022-04-04,45129.93,46900.0,46420.08,46596.83,13802.44111729
2022-04-05,45371.16,47200.0,46594.39,45506.5,14390.57308541
2022-04-06,43115.26,45523.25,45509.92,43166.7,24250.37283725
2022-04-07,42734.69,43908.58,43166.71,43452.18,13245.36612438
2022-04-08,42112.0,44000.0,43444.71,42262.02,11929.52123708
2022-04-09,42118.96,42816.38,42261.9,42766.93,4805.71689778
2022-04-10,41885.86,43443.32,42766.46,42165.96,5770.49368126
2022-04-11,39204.59,42424.14,42165.96,39535.87,17229.3729009
2022-04-12,39250.0,40705.68,39535.88,40086.23,13866.41847396
2022-04-13,39550.0,41570.88,40086.7,41146.68,11457.63380548
2022-04-14,39573.8,41512.43,41147.15,39954.08,11020.37202049
2022-04-15,39770.22,40850.0,39953.62,40554.58,6448.01134712
2022-04-16,40005.0,40699.99,40554.6,40387.6,4084.16565112
2022-04-17,39553.07,40605.46,40387.6,39683.54,4833.31493601
2022-04-18,38550.0,41100.0,39681.11,40803.58,13090.79423386
2022-04-19,40571.99,41772.94,40810.87,41503.85,10218.113707
2022-04-20,40900.0,42209.58,41501.56,41377.61,14609.28392672
2022-04-21,39744.75,43109.47,41371.88,40480.81,17204.35326683
2022-04-22,39174.8,40802.65,40483.38,39712.25,16871.32104798
2022-04-23,39296.19,39993.82,39712.2,39465.87,6957.16710365
2022-04-24,39000.0,39945.74,39459.63,39464.56,6436.45656858
2022-04-25,38210.24,40605.3,39463.75,40439.22,20515.87532995
2022-04-26,37700.0,40817.16,40440.9,38113.82,21648.1142493
2022-04-27,37882.83,39470.0,38118.43,39251.11,20832.19649199
2022-04-28,38883.83,40400.0,39251.02,39743.22,16718.83057299
2022-04-29,38161.85,39926.8,39741.21,38593.1,14282.25993546
2022-04-30,37590.0,38795.0,38592.27,37644.1,6931.07200088
2022-05-01,37401.0,38675.37,37640.35,38473.05,7980.89975954
2022-05-02,38041.0,39181.27,38469.49,38510.89,17946.98346298
2022-05-03,37505.01,38643.48,38510.88,37719.59,17946.99450089
2022-05-04,37651.38,40038.27,37719.58,39669.56,21513.95419034
2022-05-05,35568.0,39864.55,39669.56,36537.22,28832.99792317
2022-05-06,35255.4,36664.4,36537.22,35999.1,28626.6487821
2022-05-07,34785.0,36125.0,35999.1,35458.0,11372.45319184
2022-05-08,33701.0,35499.93,35458.0,34027.91,22357.51152059
2022-05-09,30010.0,34231.54,34033.49,30078.27,55136.45332765
2022-05-10,29735.05,32645.49,30078.27,31002.39,55818.01900282
2022-05-11,27682.38,32185.9,31002.39,28972.34,61128.25296303
2022-05-12,25338.53,30091.2,28977.75,28941.95,70702.60931849
2022-05-13,28662.7,30990.0,28941.95,29232.18,34643.05118869
2022-05-14,28564.38,30287.58,29234.73,30041.88,15245.46818403
2022-05-15,29436.06,31418.35,30041.9,31290.05,16440.89298551
2022-05-16,29055.0,31293.31,31290.02,29839.89,22646.18507353
2022-05-17,29415.01,30750.0,29839.89,30412.12,19833.30676705
2022-05-18,28605.0,30675.92,30412.1,28672.94,28348.42643576
2022-05-19,28645.2,30500.0,28671.5,30274.59,29009.9710577
2022-05-20,28690.92,30729.83,30274.59,29155.75,34328.18791921
2022-05-21,28913.26,29613.34,29155.74,29408.26,9998.48360206
2022-05-22,29211.0,30457.9,29407.4,30260.87,11774.13662231
2022-05-23,28847.72,30635.39,30258.04,29082.52,25413.0825529
2022-05-24,28611.0,29802.0,29079.31,29626.44,17077.03870179
2022-05-25,29296.12,30192.08,29627.61,29503.49,17180.56600794
2022-05-26,28000.0,29850.0,29503.48,29166.06,26598.58606063
2022-05-27,28220.0,29355.4,29166.06,28598.31,21035.53736928
2022-05-28,28500.0,29239.52,28598.31,29008.99,7717.34367577
2022-05-29,28809.84,29550.0,29008.99,29447.07,6727.92770357
2022-05-30,29273.65,32232.16,29447.08,31711.42,24915.37275974
2022-05-31,31195.9,32383.96,31716.67,31784.05,21187.77667355
2022-06-01,29308.01,31964.56,31784.18,29788.79,26857.46263482
2022-06-02,29558.61,30655.0,29789.19,30433.75,18519.12608247
2022-06-03,29213.47,30674.95,30429.12,29670.85,15016.78184772
2022-06-04,29454.14,29952.0,29672.77,29843.18,6390.75942952
2022-06-05,29505.65,30158.44,29837.56,29901.54,5482.4963235
2022-06-06,29866.44,31745.0,29899.62,31343.61,20384.91220986
2022-06-07,29200.0,31549.21,31349.59,31106.9,23234.0811685
2022-06-08,29829.98,31306.32,31111.0,30177.0,16775.53319148
2022-06-09,29904.0,30679.72,30182.92,30079.62,13334.23491125
2022-06-10,28821.15,30337.83,30079.59,29063.11,23208.77056569
2022-06-11,28080.01,29411.11,29058.79,28388.63,13276.76193059
2022-06-12,26532.95,28516.33,28395.03,26555.2,18661.94193886
2022-06-13,21920.0,26869.35,26555.17,22460.97,81724.84469418
2022-06-14,20816.4,23299.22,22460.97,22120.25,47382.80135514
2022-06-15,20071.0,22769.12,22120.23,22562.33,62040.45345538
2022-06-16,20200.0,22974.1,22562.33,20372.0,37587.2170128
2022-06-17,20209.73,21338.7,20371.96,20447.86,25560.04919013
2022-06-18,17567.45,20750.0,20447.86,18948.89,52894.97568032
2022-06-19,17934.26,20795.11,18944.66,20552.44,29383.34368967
2022-06-20,19603.8,21041.62,20552.39,20549.75,24904.11647858
2022-06-21,20328.03,21711.0,20547.68,20696.96,23770.75139634
2022-06-22,19751.51,20873.52,20699.63,19968.46,26569.63207564
2022-06-23,19869.41,21211.97,19970.07,21104.45,21460.76883515
2022-06-24,20712.54,21537.46,21104.45,21223.72,21361.7652594
2022-06-25,20900.0,21594.5,21221.13,21478.04,12877.9734191
2022-06-26,20944.68,21866.0,21474.14,21027.92,11145.88852674
2022-06-27,20500.0,21520.0,21024.85,20725.17,17440.94268269
2022-06-28,20164.7,21189.99,20722.95,20252.89,17658.6604167
2022-06-29,19823.43,20410.91,20253.5,20094.79,18278.45185883
2022-06-30,18603.0,20143.53,20098.0,19985.62,28361.45876221
2022-07-01,18938.33,20879.99,19985.62,19252.76,32977.00052272
2022-07-02,18955.02,19422.02,19252.76,19224.03,10707.74160684
2022-07-03,18755.75,19622.33,19225.54,19291.33,11826.36538269
2022-07-04,19029.33,20331.76,19291.35,20211.35,14462.57230204
2022-07-05,19274.95,20734.89,20212.42,20153.51,21938.40185419
2022-07-06,19743.0,20650.0,20153.74,20542.67,18489.12900774
2022-07-07,20224.8,21855.72,20542.66,21614.6,25211.332802
2022-07-08,21172.0,22490.54,21618.04,21582.2,25311.00378887
2022-07-09,21311.04,21959.3,21582.28,21583.99,9424.31410235
2022-07-10,20636.53,21595.75,21582.23,20850.65,9610.90399408
2022-07-11,19860.12,20854.32,20850.65,19942.43,16061.45339697
2022-07-12,19226.47,20037.46,19942.44,19303.65,21631.52226271
2022-07-13,18892.0,20330.71,19304.71,20220.23,28211.91563971
2022-07-14,19607.14,20893.73,20219.69,20577.02,24371.50910244
2022-07-15,20368.67,21196.37,20574.96,20827.55,17731.34162095
2022-07-16,20475.94,21582.71,20823.06,21189.68,12479.60342503
2022-07-17,20750.1,21667.1,21189.23,20791.74,11450.67396279
2022-07-18,20755.95,22777.0,20791.74,22427.56,31445.5132866
2022-07-19,21578.57,23800.0,22434.97,23395.06,34808.90125305
2022-07-20,22899.0,24287.13,23398.46,23226.99,34094.81155381
2022-07-21,22340.07,23434.65,23225.24,23153.96,24113.43095206
2022-07-22,22505.56,23763.55,23152.76,22687.68,20884.25890814
2022-07-23,21941.01,23006.16,22688.85,22450.69,12592.30066753
2022-07-24,22263.85,23036.46,22451.36,22583.43,9132.96152481
2022-07-25,21254.97,22665.74,22583.37,21313.41,22277.31378773
2022-07-26,20715.0,21344.43,21312.06,21261.57,19333.35688939
2022-07-27,21045.73,23110.73,21260.22,22962.59,24206.7301153
2022-07-28,22580.86,24206.11,22960.74,23851.7,25681.25351287
2022-07-29,23429.71,24450.0,23851.66,23784.5,18431.00204878
2022-07-30,23516.11,24666.0,23787.84,23650.13,13265.47821461
2022-07-31,23240.01,24192.18,23648.15,23307.44,7969.64723008
2022-08-01,22850.0,23518.89,23307.44,23273.86,12543.48560075
2022-08-02,22659.06,23464.97,23273.85,22989.4,15013.77828925
2022-08-03,22694.56,23650.96,22994.78,22825.0,23966.78092491
2022-08-04,22392.88,23234.29,22824.88,22623.94,21755.96366822
2022-08-05,22589.83,23478.58,22624.44,23320.81,26745.91293062
2022-08-06,22917.49,23357.19,23320.71,22960.93,9285.19244923
2022-08-07,22852.13,23405.02,22960.86,23177.39,8297.19227173
2022-08-08,23158.32,24251.08,23180.26,23815.65,24093.33217697
2022-08-09,22871.66,23929.35,23815.68,23158.27,22349.07822206
2022-08-10,22666.23,24224.67,23158.32,23962.18,25974.49772434
2022-08-11,23862.66,24929.99,23959.3,23944.86,29681.35922757
2022-08-12,23600.01,24463.01,23944.85,24415.18,17244.15100332
2022-08-13,24302.36,24898.91,24415.08,24456.49,13678.30446343
2022-08-14,24151.63,25054.1,24456.17,24316.71,23306.17100393
2022-08-15,23777.0,25214.57,24316.58,24097.82,27821.25610894
2022-08-16,23668.0,24253.98,24099.7,23857.93,19601.90580439
2022-08-17,23180.14,24448.49,23857.89,23341.17,22747.43895287
2022-08-18,23107.27,23600.0,23344.42,23189.46,13825.6308966
2022-08-19,20782.39,23206.76,23188.94,20834.94,45962.7257428
2022-08-20,20760.93,21372.93,20834.94,21139.23,21809.4048831
2022-08-21,21067.33,21795.08,21139.22,21518.62,16024.82128336
2022-08-22,20889.69,21540.0,21514.45,21398.25,26215.93682469
2022-08-23,20889.69,21679.52,21396.37,21528.34,22744.05096265
2022-08-24,21147.41,21925.0,21526.74,21367.12,22538.91385671
2022-08-25,21307.32,21818.32,21367.12,21561.86,17065.2835044
2022-08-26,20112.78,21878.05,21561.49,20240.72,37169.02639568
2022-08-27,19800.0,20389.14,20240.63,20036.69,22160.97938125
2022-08-28,19513.74,20164.26,20035.3,19554.03,17117.31912737
2022-08-29,19545.57,20427.19,19552.31,20286.97,33436.35652183
2022-08-30,19540.14,20582.64,20286.95,19813.17,46462.27938622
2022-08-31,19799.97,20489.0,19813.97,20048.26,36587.60323535
2022-09-01,19561.01,20205.53,20048.27,20133.65,23858.64862602
2022-09-02,19755.0,20444.0,20132.67,19953.74,19929.54590305
2022-09-03,19655.0,20053.9,19953.4,19835.47,9538.49811675
2022-09-04,19588.27,20026.2,19833.59,20004.73,10670.60766559
2022-09-05,19633.11,20060.0,20003.85,19794.58,13935.11385555
2022-09-06,18663.25,20179.86,19794.59,18790.91,34029.11126955
2022-09-07,18527.0,19466.09,18790.77,19293.52,25583.39915964
2022-09-08,19014.43,19460.7,19293.03,19321.87,20327.61614165
2022-09-09,19294.49,21616.21,19322.56,21364.5,39579.81208118
2022-09-10,21127.1,21815.15,21366.61,21651.52,17750.76003376
2022-09-11,21356.37,21865.66,21656.03,21831.72,14386.63340528
2022-09-12,21555.0,22490.05,21830.16,22402.71,28404.49469955
2022-09-13,19855.0,22800.0,22402.58,20174.78,37351.56014939
2022-09-14,19625.0,20545.0,20174.78,20227.77,25139.52734416
2022-09-15,19500.0,20336.42,20227.7,19703.67,21124.30384367
2022-09-16,19305.0,19890.95,19703.65,19801.04,24863.81492556
2022-09-17,19748.89,20183.14,19800.26,20113.37,11557.14724341
2022-09-18,19335.57,20119.08,20113.37,19417.64,16437.90668757
2022-09-19,18255.0,19689.62,19417.56,19540.38,30961.4463315
2022-09-20,18722.0,19638.46,19538.31,18876.91,27437.23361358
2022-09-21,18153.13,19949.97,18876.14,18462.64,44344.46282424
2022-09-22,18358.63,19521.8,18462.66,19401.25,41006.95212665
2022-09-23,18529.0,19500.0,19399.93,19286.01,30781.38249694
2022-09-24,18808.13,19311.4,19286.03,18923.2,17644.76169841
2022-09-25,18619.88,19184.3,18920.93,18808.61,14499.16320537
2022-09-26,18681.02,19320.86,18806.3,19228.0,33108.05445715
2022-09-27,18821.55,20383.15,19226.94,19077.57,51860.03004114
2022-09-28,18487.0,19773.67,19077.56,19412.07,43710.30467197
2022-09-29,18845.3,19646.66,19412.37,19595.57,34783.53737085
2022-09-30,19154.38,20182.72,19595.59,19426.11,34243.66392923
2022-10-01,19160.0,19486.43,19423.57,19315.27,7337.45595566
2022-10-02,18923.81,19398.94,19315.26,19059.17,12951.42404465
2022-10-03,18958.29,19717.67,19059.1,19633.46,28571.64018677
2022-10-04,19495.32,20479.43,19632.43,20345.19,32685.41637125
2022-10-05,19750.0,20371.15,20345.27,20161.62,33542.20736149
2022-10-06,19855.19,20455.79,20162.15,19965.64,44044.43606305
2022-10-07,19325.0,20065.26,19963.75,19533.05,34938.97272677
2022-10-08,19250.0,19628.78,19531.68,19419.39,9745.2545363
2022-10-09,19321.0,19563.28,19421.49,19443.47,12537.63788265
2022-10-10,19028.08,19528.04,19442.7,19132.83,26596.56843638
2022-10-11,18855.19,19265.69,19130.8,19058.11,36248.01909763
2022-10-12,18971.51,19235.26,19058.42,19155.92,24862.65344825
2022-10-13,18131.0,19509.23,19153.97,19378.65,49160.49651762
2022-10-14,19076.83,19954.14,19375.55,19178.0,46208.33260444
2022-10-15,18983.0,19229.12,19179.15,19070.24,9062.82835275
2022-10-16,19065.23,19425.49,19070.62,19264.44,8310.92834083
2022-10-17,19154.72,19679.46,19261.62,19550.4,24137.12482696
2022-10-18,19091.77,19702.73,19550.39,19328.76,27645.59742478
2022-10-19,19062.1,19361.0,19328.75,19124.18,22284.13292808
2022-10-20,18905.0,19349.04,19123.77,19042.48,28405.7559743
2022-10-21,18659.0,19254.52,19043.66,19166.45,24206.36088454
2022-10-22,19110.46,19257.66,19164.92,19209.1,7044.99034028
2022-10-23,19070.92,19698.1,19209.09,19572.44,12086.31175412
2022-10-24,19159.35,19603.57,19572.2,19330.41,29432.58356293
2022-10-25,19240.76,20420.88,19332.11,20086.28,42452.33701168
2022-10-26,20055.85,21022.81,20086.27,20775.4,43618.9919315
2022-10-27,20196.01,20878.17,20773.59,20296.97,34123.58255469
2022-10-28,20000.0,20755.09,20295.77,20597.91,29581.75150226
2022-10-29,20561.2,21080.0,20597.34,20823.53,19822.75126022
2022-10-30,20523.92,20939.35,20822.38,20630.68,13737.38848362
2022-10-31,20237.0,20837.68,20629.21,20489.94,22222.73611567
2022-11-01,20326.55,20691.0,20489.55,20479.63,21147.00854592
2022-11-02,20059.53,20805.0,20480.34,20151.4,43913.21904186
2022-11-03,20032.02,20390.82,20151.29,20206.88,26837.37211156
2022-11-04,20181.61,21298.76,20208.02,21144.2,42027.16281295
2022-11-05,21082.54,21478.8,21149.03,21300.45,14076.70487828
2022-11-06,20886.26,21365.89,21300.45,20909.17,10958.4932636
2022-11-07,20394.34,21069.46,20908.15,20593.49,25279.82916936
2022-11-08,17500.0,20675.0,20593.34,18550.25,84056.63082724
2022-11-09,15512.0,18590.34,18546.07,15891.96,119633.96194081
2022-11-10,15720.0,18140.62,15894.77,17553.89,91496.98548059
2022-11-11,16336.05,17641.32,17555.44,17013.62,64776.6547934
2022-11-12,16595.25,17067.7,17014.78,16783.33,23830.0578576
2022-11-13,16214.95,16926.57,16783.32,16301.39,23266.69734743
2022-11-14,15790.25,17169.68,16298.75,16590.73,55601.93469977
2022-11-15,16502.85,17107.88,16588.41,16877.93,48155.32053543
2022-11-16,16358.66,16994.31,16879.37,16645.24,37249.70414522
2022-11-17,16396.0,16736.7,16646.58,16680.47,22484.77507436
2022-11-18,16526.28,16984.08,16680.47,16680.59,26970.34405749
2022-11-19,16534.83,16802.0,16678.85,16683.02,9396.04770097
2022-11-20,16154.65,16733.19,16680.7,16252.53,16685.1909604
2022-11-21,15460.0,16279.99,16252.43,15760.14,43799.91803333
2022-11-22,15596.22,16294.5,15758.96,16199.71,44555.90690195
2022-11-23,16142.99,16700.0,16201.15,16587.0,37143.06609396
2022-11-24,16450.62,16797.28,16585.83,16587.61,21819.50497344
2022-11-25,16333.0,16610.08,16587.6,16510.9,20800.91157317
2022-11-26,16376.1,16693.18,16510.9,16450.93,12308.57070713
2022-11-27,16395.0,16589.43,16450.32,16419.88,10825.69525321
2022-11-28,15992.64,16478.32,16421.63,16206.3,30336.24756667
2022-11-29,16092.53,16541.72,16206.23,16438.0,21901.9847881
2022-11-30,16423.37,17259.37,16437.94,17167.33,42517.61172285
2022-12-01,16855.0,17317.8,17165.44,16980.08,31798.99151828
2022-12-02,16791.02,17108.25,16980.07,17094.71,23096.43686725
2022-12-03,16863.58,17158.42,17094.25,16888.53,14081.4506716
2022-12-04,16882.86,17199.99,16889.17,17108.9,16961.10828839
2022-12-05,16865.22,17424.59,17108.9,16966.05,33618.45109026
2022-12-06,16904.04,17111.35,16966.05,17089.05,26693.6101171
2022-12-07,16679.52,17140.22,17089.18,16840.0,22635.46848793
2022-12-08,16738.0,17300.59,16839.76,17226.01,23533.23453743
2022-12-09,17060.69,17352.62,17226.03,17130.59,20976.63699864
2022-12-10,17093.42,17227.64,17130.49,17128.1,7860.58687575
2022-12-11,17073.19,17271.92,17128.1,17085.21,9948.85267032
2022-12-12,16875.83,17244.63,17085.62,17211.66,20659.65709227
2022-12-13,17089.17,17999.99,17212.9,17773.18,38316.03172467
2022-12-14,17660.93,18385.36,17772.98,17804.97,49295.42072146
2022-12-15,17275.02,17856.26,17805.36,17357.96,37834.73808374
2022-12-16,16529.53,17525.0,17359.1,16632.64,47159.86300655
2022-12-17,16585.64,16799.99,16634.29,16782.25,18446.6836015
2022-12-18,16663.76,16875.0,16782.23,16741.16,11073.43886205
2022-12-19,16273.4,16822.84,16742.33,16439.74,26856.08598724
2022-12-20,16398.22,17060.86,16439.98,16897.65,34330.28235168
2022-12-21,16725.78,16926.05,16896.17,16826.56,16743.62189364
2022-12-22,16560.84,16868.82,16825.18,16815.51,21269.7673979
2022-12-23,16719.57,16943.29,16815.28,16777.21,21958.88697726
2022-12-24,16775.88,16863.62,16777.88,16837.12,9502.80320659
2022-12-25,16720.89,16853.88,16837.24,16829.02,7065.21656572
2022-12-26,16787.97,16939.81,16829.19,16917.96,8493.27661167
2022-12-27,16585.97,16967.0,16916.66,16698.73,17482.09318834
2022-12-28,16460.0,16777.35,16698.31,16539.66,23345.55126307
2022-12-29,16479.5,16654.81,16539.66,16627.54,20088.46487471
2022-12-30,16326.16,16649.99,16627.36,16600.1,26532.28003447
2022-12-31,16462.49,16634.42,16599.98,16530.35,15414.5294044
2023-01-01,16490.0,16621.0,16531.83,16611.58,10668.73697739
2023-01-02,16542.52,16789.99,16611.9,16666.95,13560.46017964
2023-01-03,16600.0,16772.3,16666.86,16669.47,17612.35527749
2023-01-04,16645.87,16988.0,16668.95,16844.42,25922.70680625
2023-01-05,16750.07,16872.13,16844.4,16825.69,14918.22913349
2023-01-06,16670.82,17027.11,16825.53,16948.06,24235.38704157
2023-01-07,16903.58,16977.76,16948.0,16942.37,5680.11799379
2023-01-08,16910.41,17167.52,16942.37,17125.18,9195.45985397
2023-01-09,17102.97,17396.25,17125.17,17177.98,33252.15435855
2023-01-10,17145.1,17494.37,17177.94,17443.5,24901.57485784
2023-01-11,17315.08,17998.0,17443.5,17944.27,27251.01602186
2023-01-12,17904.83,19115.85,17944.15,18847.75,61938.44269045
2023-01-13,18714.8,20000.0,18847.77,19934.88,55049.6223488
2023-01-14,19893.25,21321.98,19934.07,20957.02,58239.87328811
2023-01-15,20560.16,21057.3,20956.2,20879.7,25709.30241812
2023-01-16,20611.45,21465.62,20879.67,21187.5,41151.35428763
2023-01-17,20844.73,21595.0,21191.46,21136.33,32656.47978348
2023-01-18,20370.01,21650.21,21135.01,20674.29,34600.25647175
2023-01-19,20656.52,21197.0,20674.03,21084.22,23436.75404601
2023-01-20,20865.64,22754.73,21084.05,22669.81,32810.59587882
2023-01-21,22432.45,23375.6,22671.09,22789.37,32657.60500465
2023-01-22,22298.15,23082.82,22789.34,22714.87,25548.28914044
2023-01-23,22500.01,23180.55,22714.81,22920.29,32380.77464386
2023-01-24,22460.17,23165.56,22920.67,22636.17,39180.10567306
2023-01-25,22326.24,23824.66,22636.19,23062.36,38496.91631901
2023-01-26,22853.61,23287.38,23062.36,23010.47,30187.01702655
2023-01-27,22540.76,23511.9,23011.37,23084.4,27185.13487749
2023-01-28,22884.0,23196.99,23084.38,23028.95,7466.33930339
2023-01-29,22974.75,23966.0,23029.56,23745.8,20952.76361397
2023-01-30,22500.0,23802.99,23744.34,22836.03,34312.28644397
2023-01-31,22719.68,23313.23,22836.03,23128.86,22721.77475761
2023-02-01,22760.0,23813.57,23127.15,23735.97,20292.22416962
2023-02-02,23367.87,24262.18,23735.97,23493.84,16368.92138269
2023-02-03,23208.01,23720.0,23497.29,23433.54,14215.66842983
2023-02-04,23257.71,23589.67,23433.47,23328.87,3567.13007478
2023-02-05,22758.01,23433.2,23329.47,22936.34,6574.34533251
2023-02-06,22637.51,23163.05,22936.34,22764.07,12149.94486314
2023-02-07,22748.11,23348.73,22763.42,23244.67,9803.34759825
2023-02-08,22669.09,23451.01,23244.64,22964.38,7693.59195866
2023-02-09,21700.0,23011.18,22963.91,21800.63,19277.239648
2023-02-10,21467.43,21942.41,21800.62,21628.97,12641.59512641
2023-02-11,21605.35,21904.0,21628.97,21863.73,4695.91143894
2023-02-12,21631.0,22091.88,21863.73,21789.8,5990.68642903
2023-02-13,21366.45,21903.03,21789.79,21789.14,13246.3049252
2023-02-14,21545.67,22331.76,21789.0,22206.27,14879.72784164
2023-02-15,22054.17,24386.5,22206.26,24329.04,23427.35072192
2023-02-16,23510.73,25256.83,24326.95,23516.15,30034.93494269
2023-02-17,23344.12,25025.0,23516.95,24577.6,22795.35234631
2023-02-18,24407.67,24879.33,24577.6,24636.23,6191.17379627
2023-02-19,24192.7,25200.0,24635.85,24281.31,9733.21021005
2023-02-20,23841.08,25128.11,24278.81,24844.97,13977.17943437
2023-02-21,24153.96,25288.88,24844.21,24454.43,16495.25564236
2023-02-22,23581.64,24480.0,24454.08,24184.44,17390.31077874
2023-02-23,23612.59,24600.95,24184.9,23943.32,16847.70433307
2023-02-24,22520.0,24132.67,23943.32,23186.88,20933.97488913
2023-02-25,22716.47,23220.56,23186.88,23159.71,5937.43847794
2023-02-26,23052.78,23689.77,23159.71,23556.83,6063.45918348
2023-02-27,23109.06,23895.51,23556.83,23489.52,12098.67253518
2023-02-28,23027.24,23597.98,23490.01,23145.32,9516.02766667
2023-03-01,23025.17,23999.99,23144.37,23631.52,12151.84539817
2023-03-02,23196.09,23798.62,23632.12,23468.24,9239.93644458
2023-03-03,21988.02,23477.28,23468.79,22358.18,21715.09355721
2023-03-04,22150.71,22409.82,22358.18,22350.95,2266.21497947
2023-03-05,22195.13,22654.64,22349.74,22432.69,5291.96467583
2023-03-06,22264.73,22599.99,22431.99,22410.31,10660.04864303
2023-03-07,21932.74,22557.03,22410.13,22198.48,10381.24422759
2023-03-08,21580.84,22281.55,22198.09,21698.37,13343.72575834
2023-03-09,20050.0,21825.53,21699.41,20367.01,21326.08097071
2023-03-10,19568.52,20369.78,20366.97,20230.08,32126.59207482
2023-03-11,19900.5,20964.5,20230.07,20620.54,18920.85100043
2023-03-12,20446.24,22276.69,20619.34,22219.08,19165.53317335
2023-03-13,21882.63,24710.0,22216.02,24220.0,38654.82408388
2023-03-14,24052.0,26553.9,24220.0,24762.65,44100.36444555
2023-03-15,23931.01,25300.0,24761.61,24377.16,30128.4276161
2023-03-16,24207.54,25235.28,24377.16,25051.85,20754.42573365
2023-03-17,24946.86,27834.54,25052.11,27453.62,40752.19373629
2023-03-18,26652.45,27780.0,27453.75,26980.35,18096.24372219
2023-03-19,26904.0,28478.0,26980.35,28054.46,16897.41761964
2023-03-20,27218.36,28578.63,28058.15,27823.32,23782.6567676
2023-03-21,27414.77,28605.32,27822.85,28207.33,16193.18924882
2023-03-22,26678.16,28937.73,28201.22,27325.15,33974.43697526
2023-03-23,27189.19,28839.68,27324.05,28352.94,26698.29660165
2023-03-24,27027.88,28433.34,28352.95,27489.24,22190.91292623
2023-03-25,27184.78,27818.67,27489.24,27488.18,9655.9494554
2023-03-26,27445.04,28230.32,27489.56,27992.9,9800.64299441
2023-03-27,26525.0,28053.26,27995.27,27142.87,17268.16335715
2023-03-28,26640.0,27519.99,27142.85,27274.15,14103.92919115
2023-03-29,27255.42,28654.06,27274.18,28359.54,17710.8595857
2023-03-30,27693.7,29190.04,28359.54,28035.48,20972.43924037
2023-03-31,27512.97,28650.2,28034.88,28474.4,18917.3621471
2023-04-01,28223.76,28826.45,28475.41,28471.46,6988.04239657
2023-04-02,27862.69,28544.21,28471.03,28188.34,6707.97702984
2023-04-03,27227.61,28525.0,28188.34,27811.77,16192.03702141
2023-04-04,27670.24,28450.0,27809.55,28179.64,13261.95025317
2023-04-05,27817.32,28799.99,28178.66,28175.37,15066.72449529
2023-04-06,27716.77,28199.11,28175.27,28053.46,10291.78500534
2023-04-07,27790.21,28120.71,28052.74,27931.94,5847.77200458
2023-04-08,27881.01,28175.89,27930.12,27958.81,3854.33490363
2023-04-09,27814.0,28547.67,27958.19,28340.99,6136.4286229
2023-04-10,28162.49,29794.47,28342.28,29660.41,15752.30418782
2023-04-11,29612.3,30584.58,29657.7,30227.19,18637.22157812
2023-04-12,29675.0,30517.0,30227.18,29912.2,14961.08403219
2023-04-13,29878.08,30627.05,29912.2,30406.78,12505.27274115
2023-04-14,30000.0,31050.0,30410.03,30492.92,19793.55777592
2023-04-15,30231.76,30622.38,30492.91,30324.11,5486.7222394
2023-04-16,30148.28,30572.1,30325.07,30326.09,6230.24911461
2023-04-17,29251.71,30340.21,30321.41,29449.91,13418.0380446
2023-04-18,29103.89,30500.0,29449.91,30393.4,12649.52217446
2023-04-19,28595.28,30430.72,30394.5,28809.72,20951.87851572
2023-04-20,27991.32,29102.69,28809.71,28248.18,17007.31210311
2023-04-21,27133.0,28371.88,28248.18,27253.85,19665.99126045
2023-04-22,27133.0,27887.78,27252.96,27821.41,7556.85769964
2023-04-23,27333.2,27820.99,27820.99,27592.98,6255.76778325
2023-04-24,26965.14,28000.0,27592.7,27515.05,12258.59093046
2023-04-25,27194.51,28400.0,27513.85,28304.42,12013.57991051
2023-04-26,27230.77,30050.66,28304.42,28426.08,31636.39150463
2023-04-27,28387.07,29900.0,28428.86,29483.72,24310.36359778
2023-04-28,28900.0,29606.45,29486.97,29338.63,14184.03938836
2023-04-29,29057.3,29470.0,29339.47,29249.35,4909.72717806
2023-04-30,29095.92,29969.99,29249.24,29247.14,6837.06831371
2023-05-01,27664.31,29348.6,29240.49,28077.27,17953.11670042
2023-05-02,27871.44,28899.99,28077.44,28684.4,13258.60505694
2023-05-03,28122.0,29276.12,28683.41,29038.75,15588.83462733
2023-05-04,28674.58,29383.5,29039.36,28857.23,10407.16067489
2023-05-05,28810.0,29706.57,28857.88,29536.76,14691.1261171
2023-05-06,28394.0,29850.0,29538.87,28902.66,8546.79874854
2023-05-07,28429.12,29189.71,28901.3,28474.53,5884.67007423
2023-05-08,27279.66,28676.38,28472.68,27695.06,15859.41839592
2023-05-09,27367.01,27833.64,27693.24,27647.29,8888.42683618
2023-05-10,26800.0,28334.75,27647.29,27624.01,18590.96989908
2023-05-11,26702.0,27649.85,27621.5,26986.56,13438.74631738
2023-05-12,25810.0,27099.21,26986.79,26808.84,18458.49543497
2023-05-13,26700.0,27060.24,26808.8,26789.48,4782.64422745
2023-05-14,26581.52,27221.51,26786.99,26929.98,4393.20531359
2023-05-15,26740.95,27678.73,26929.98,27171.13,11889.94842508
2023-05-16,26860.12,27302.99,27165.26,27037.68,11209.90767959
2023-05-17,26543.87,27516.58,27037.72,27407.77,13308.63176925
2023-05-18,26361.52,27487.71,27407.76,26820.49,12604.94858584
